customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST000001,Female,0,Yes,Yes,27,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,99.95,2704.82,0
CUST000002,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,111.48,3758.7,1
CUST000003,Female,1,Yes,No,39,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer,96.67,3732.48,0
CUST000004,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,100.93,1853.92,1
CUST000005,Female,0,Yes,No,32,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,No,Credit card,69.18,2191.57,0
CUST000006,Female,0,No,Yes,23,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,No,Bank transfer,81.38,1859.97,0
CUST000007,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card,92.81,5864.74,0
CUST000008,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,One year,Yes,Mailed check,45.64,2959.08,0
CUST000009,Male,1,No,No,69,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,18.0,1170.38,0
CUST000010,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,43.44,160.43,0
CUST000011,Male,0,Yes,No,36,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Two year,Yes,Electronic check,54.46,2005.28,0
CUST000012,Female,0,Yes,No,47,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Credit card,59.6,2773.9,0
CUST000013,Male,0,No,Yes,46,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,48.47,2324.55,0
CUST000014,Female,0,No,No,30,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer,18.0,547.12,1
CUST000015,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,38.22,1430.23,0
CUST000016,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card,42.58,2969.62,0
CUST000017,Male,0,Yes,No,67,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Credit card,95.99,6371.09,0
CUST000018,Male,0,No,Yes,14,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,68.86,1001.43,0
CUST000019,Female,1,No,No,24,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,41.87,934.64,1
CUST000020,Male,0,No,No,24,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,One year,Yes,Electronic check,32.98,850.51,0
CUST000021,Male,0,Yes,Yes,43,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card,63.76,2672.92,0
CUST000022,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,58.11,943.24,1
CUST000023,Female,0,No,No,5,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card,24.29,124.71,0
CUST000024,Female,1,No,No,28,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,98.84,2707.51,1
CUST000025,Male,1,Yes,Yes,0,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,38.38,0.0,1
CUST000026,Male,0,No,No,8,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,46.27,297.17,1
CUST000027,Female,0,Yes,No,3,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,77.38,132.36,0
CUST000028,Female,0,No,No,4,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Bank transfer,102.13,323.55,1
CUST000029,Male,0,Yes,Yes,57,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No,One year,Yes,Credit card,114.17,6521.28,0
CUST000030,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,72.84,635.38,1
CUST000031,Female,0,Yes,No,30,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,87.06,2643.33,0
CUST000032,Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,50.85,2609.54,0
CUST000033,Male,1,No,No,44,No,Yes,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,40.61,1788.05,0
CUST000034,Female,0,Yes,No,46,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,43.35,2053.86,1
CUST000035,Female,0,No,No,37,Yes,Yes,No,No,No,Yes,No,No,Yes,One year,Yes,Credit card,30.75,1176.86,0
CUST000036,Male,0,No,No,17,No,Yes,DSL,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card,55.1,951.11,0
CUST000037,Male,0,No,No,26,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,73.04,1950.76,0
CUST000038,Female,0,No,No,7,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.63,631.3,0
CUST000039,Female,0,No,No,20,No,No,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,47.36,924.62,1
CUST000040,Male,0,No,No,43,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,97.94,4218.93,0
CUST000041,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,63.33,3014.72,0
